city,avg_rating,business_count,avg_review_count
Santa Barbara,3.827900912646675,767,207.70143415906128
New Orleans,3.7440265486725663,2260,207.52654867256638
Palm Harbor,3.6642512077294684,207,66.93236714975845
St. Louis,3.662062615101289,543,82.72007366482505
St. Petersburg,3.646039603960396,404,87.33168316831683
Saint Petersburg,3.614052953156823,491,104.94704684317719
Tampa,3.603512326916582,2961,99.99628503883822
Clearwater,3.6010324483775813,678,80.80088495575221
Carmel,3.5996563573883162,291,91.5704467353952
Boise,3.5895170789163724,849,76.6489988221437
Reno,3.5764751552795033,1288,150.48835403726707
West Chester,3.569642857142857,280,56.56785714285714
Nashville,3.5643228126248503,2503,128.07670795045945
Goleta,3.5568181818181817,220,118.51818181818182
Fishers,3.5566502463054186,203,80.5911330049261
Philadelphia,3.55603006491288,5854,114.86607447898872
Largo,3.5193548387096776,310,53.89354838709677
Saint Louis,3.504745951982133,1791,97.04690117252932
Edmonton,3.4965373961218837,2166,28.80517082179132
Indianapolis,3.490566037735849,2862,85.47798742138365
Wilmington,3.490322580645161,620,49.403225806451616
New Port Richey,3.480088495575221,226,46.25221238938053
Tucson,3.4627530364372467,2470,97.96275303643725
Brandon,3.455521472392638,326,89.76073619631902
Meridian,3.4391025641025643,312,77.24038461538461
Franklin,3.4268018018018016,444,83.7927927927928
Cherry Hill,3.409090909090909,297,81.68013468013469
Sparks,3.407185628742515,334,116.33233532934132
Metairie,3.375478927203065,522,78.82375478927203
Greenwood,3.289855072463768,207,51.44927536231884
Kenner,3.162280701754386,228,53.89912280701754
