city,avg_rating,business_count,avg_review_count
Santa Barbara,3.827900912646675,767,206.3194263363755
New Orleans,3.7440265486725663,2260,206.18938053097344
Palm Harbor,3.6642512077294684,207,66.2415458937198
St. Louis,3.662062615101289,543,81.76611418047882
St. Petersburg,3.646039603960396,404,86.36138613861387
Saint Petersburg,3.614052953156823,491,103.90631364562118
Tampa,3.603512326916582,2961,98.9969604863222
Clearwater,3.6010324483775813,678,80.16814159292035
Carmel,3.5996563573883162,291,90.5704467353952
Boise,3.5895170789163724,849,75.8339222614841
Reno,3.5764751552795033,1288,148.33540372670808
West Chester,3.569642857142857,280,55.99285714285714
Nashville,3.5643228126248503,2503,127.27127447063523
Goleta,3.5568181818181817,220,116.91363636363636
Fishers,3.5566502463054186,203,79.5911330049261
Philadelphia,3.55603006491288,5854,113.72548684660062
Largo,3.5193548387096776,310,53.10645161290323
Saint Louis,3.504745951982133,1791,95.91568955890564
Edmonton,3.4965373961218837,2166,28.481994459833796
Indianapolis,3.490566037735849,2862,84.56464011180992
Wilmington,3.490322580645161,620,48.91935483870968
New Port Richey,3.480088495575221,226,45.743362831858406
Tucson,3.4627530364372467,2470,96.72145748987855
Brandon,3.455521472392638,326,88.77914110429448
Meridian,3.4391025641025643,312,76.35576923076923
Franklin,3.4268018018018016,444,82.9054054054054
Cherry Hill,3.409090909090909,297,80.58922558922559
Sparks,3.407185628742515,334,114.38622754491018
Metairie,3.375478927203065,522,77.83716475095785
Greenwood,3.289855072463768,207,50.78743961352657
Kenner,3.162280701754386,228,53.276315789473685
